pupticon,心灵支配器
pdomicon,心灵支配
lunricon,宇航员
lunruico,宇航员
ypwricon,生化反应器
teleicon,磁控坦克
teleuico,磁控坦克
gdgiicon,守卫大兵
gdgiuico,守卫大兵
yyrdicon,潜艇洞库
clonicon,克隆缸
ggunicon,加特林机炮
ltnkicon,鞭笞者坦克
ltnkuico,鞭笞者坦克
mindicon,主脑控制车
minduico,主脑控制车
psisicon,心灵雷达
psyricon,心灵感测
schpicon,攻城直升机
schpuico,攻城直升机
yhvricon,气垫运输船
yhvruico,气垫运输船
ywepicon,战争工厂
ypcvicon,尤里基地车
ypcvuico,尤里基地车
samicon,爱国者导弹
grndicon,破碎回收厂
bplnicon,米格战机
rbccicon,遥控中心
caosicon,混乱突击车
caosuico,混乱突击车
brisicon,鲍里斯
brisuico,鲍里斯
citwicon,护城墙
ytnkicon,加特林坦克
ytnkuico,加特林坦克
ytchicon,作战实验室
vrusicon,病毒狙击手
vrusuico,病毒狙击手
brckicon,兵营
sminicon,奴隶矿厂
sminuico,奴隶矿厂
spypicon,侦察机
diskicon,浮游飞碟
diskuico,浮游飞碟
yclnicon,尤里复制人
yclnuico,尤里复制人
psyticon,心灵控制塔
muteicon,基因突变
yypricon,尤里本尊
yypruico,尤里本尊
yengicon,工程师
yenguico,工程师
gtncicon,基因突变器
forcicon,力场护盾
tbnkicon,坦克碉堡
indpicon,工业工厂
roboicon,遥控坦克
robouico,遥控坦克
initicon,教团新兵
inituico,教团新兵
bfrticon,战斗要塞
bfrtuico,战斗要塞
bnkricon,战斗碉堡
bruticon,狂兽人
brutuico,狂兽人
bsubicon,雷鸣潜艇
bsubuico,雷鸣潜艇
