tslaicon,特斯拉线圈
ttnkicon,特斯拉坦克
ttnkuico,特斯拉坦克
pupticon,心灵支配器
pdomicon,心灵支配
lunricon,宇航员
lunruico,宇航员
ypwricon,生化反应器
sealicon,海豹突击队
sealuico,海豹突击队
teleicon,磁控坦克
teleuico,磁控坦克
gdgiicon,守卫大兵
gdgiuico,守卫大兵
shadicon,夜鹰运输机
shaduico,夜鹰运输机
adogicon,军犬
adoguico,军犬
agisicon,宙斯盾巡洋舰
aparicon,空降部队
dogicon,军犬
doguico,军犬
ccomicon,超时空突击队
ccomuico,超时空突击队
ayaricon,海军船厂
yardicon,海军船厂
yyrdicon,潜艇洞库
beagicon,黑鹰战机
carricon,航空母舰
chroicon,超时空传送
clegicon,超时空兵团
cleguico,超时空兵团
clonicon,克隆缸
csphicon,时空传送仪
desoicon,辐射工兵
desouico,辐射工兵
desticon,驱逐舰
